City,StateProvinceName,CountryRegionName,PostalCode,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AgeInYears,BikeBuyer,AvgMonthSpend
Liverpool,England,United Kingdom,L4 4HB,Partial High School,Manual,M,M,1,1,0,2,28058,49,0,45.45
Grossmont,California,United States,91941,Partial High School,Skilled Manual,M,M,1,1,0,2,58873,40,0,55.72
Cheltenham,England,United Kingdom,GL50,High School,Skilled Manual,M,S,0,1,0,0,56479,29,1,50.09
Dunkerque,Nord,France,59140,High School,Manual,F,S,0,0,0,0,29425,30,0,48.33
Shawnee,British Columbia,Canada,V9B 5T2,High School,Clerical,M,M,0,2,0,0,81051,20,1,50.42
Westminster,British Columbia,Canada,V3L 1H4,Partial College,Skilled Manual,M,M,1,2,1,1,61825,34,1,52.25
Bellflower,California,United States,90706,Bachelors,Clerical,F,M,1,2,2,2,80396,53,1,52.96
Hamburg,Hamburg,Germany,20354,Partial High School,Manual,F,S,0,1,0,0,28195,21,0,45.62
Pantin,Seine Saint Denis,France,93500,High School,Skilled Manual,F,S,0,1,0,0,57463,22,0,49.66
Bracknell,England,United Kingdom,RG12 8TB,Bachelors,Skilled Manual,M,S,0,2,0,0,54707,31,1,52.08
Lemon Grove,California,United States,91945,Partial College,Clerical,F,S,0,1,0,0,76448,20,0,52.12
Sydney,New South Wales,Australia,1002,Partial High School,Manual,F,M,1,1,0,2,29482,46,0,45.82
Woodburn,Oregon,United States,97071,Bachelors,Clerical,M,M,1,1,1,1,82551,34,1,57.22
Colombes,Hauts de Seine,France,92700,Partial College,Clerical,M,S,0,1,0,0,84863,33,0,56.1
Brisbane,Queensland,Australia,4000,High School,Skilled Manual,F,M,0,0,0,1,59346,25,1,48.64
Redmond,Washington,United States,98052,Partial High School,Manual,M,S,1,0,1,1,28642,51,0,45.71
Darmstadt,Hessen,Germany,64283,Partial College,Management,F,S,1,2,0,0,107551,45,1,55.92
Orleans,Loiret,France,45000,Bachelors,Skilled Manual,F,S,0,2,0,0,57787,38,1,52.49
High Wycombe,England,United Kingdom,HP10 9QY,Partial High School,Skilled Manual,F,M,0,1,0,0,51051,22,0,48.03
London,England,United Kingdom,W1Y 3RA,Bachelors,Skilled Manual,F,S,0,1,0,0,52117,29,0,52.24
Cliffside,British Columbia,Canada,V8Y 1L1,Partial High School,Manual,M,M,1,1,0,2,31177,46,0,52.23
Vancouver,British Columbia,Canada,V7L 4J4,High School,Skilled Manual,M,M,1,2,1,2,59145,39,1,50.89
Hervey Bay,Queensland,Australia,4655,High School,Skilled Manual,M,S,0,2,0,0,61355,26,1,49.56
Berkeley,California,United States,94704,High School,Manual,F,S,0,0,0,0,27986,20,0,46.15
Glendale,California,United States,91203,High School,Skilled Manual,F,S,0,1,0,0,51733,20,0,51.62
London,England,United Kingdom,W1Y 3RA,Partial High School,Manual,M,S,0,1,0,0,35958,16,0,47
Darmstadt,Hessen,Germany,64283,Partial College,Skilled Manual,F,M,1,2,0,2,58017,41,0,48.55
East Brisbane,Queensland,Australia,4169,Partial College,Skilled Manual,M,S,1,0,0,1,61327,59,1,51.37
Kirkland,Washington,United States,98033,Graduate Degree,Skilled Manual,M,M,1,0,0,2,58357,61,0,48.53
Bellingham,Washington,United States,98225,Graduate Degree,Clerical,M,M,1,1,0,2,86358,59,0,50.35
Silverwater,New South Wales,Australia,2264,High School,Skilled Manual,F,M,0,1,0,2,61802,26,0,48.56
Lake Oswego,Oregon,United States,97034,High School,Manual,F,S,1,0,0,0,33144,46,1,46.67
Poing,Saarland,Germany,66041,Partial College,Manual,F,M,0,0,1,1,35634,24,1,47.09
Boulogne-sur-Mer,Pas de Calais,France,62200,Partial College,Manual,M,S,0,1,0,0,33386,31,1,51.89
Beaverton,Oregon,United States,97005,High School,Skilled Manual,F,M,1,2,1,2,60687,48,1,48.45
Langford,British Columbia,Canada,V9,Partial College,Clerical,M,M,1,2,0,2,81975,60,0,50.78
Oregon City,Oregon,United States,97045,High School,Skilled Manual,F,M,0,2,0,0,53355,20,0,48.24
Paris,Seine (Paris),France,75010,Partial High School,Manual,M,S,0,0,0,0,29186,22,0,46.78
Santa Cruz,California,United States,95062,Bachelors,Management,M,S,1,1,0,0,107705,33,1,62.38
La Jolla,California,United States,92806,Bachelors,Management,M,M,1,3,0,2,106801,48,1,57.71
East Brisbane,Queensland,Australia,4169,Bachelors,Skilled Manual,F,M,0,2,0,2,62012,29,1,49.29
Ballard,Washington,United States,98107,Partial College,Skilled Manual,F,M,1,2,0,1,55128,35,0,47.89
Cliffside,British Columbia,Canada,V8Y 1L1,Partial College,Clerical,F,M,1,2,0,2,77135,37,1,49.17
Westminster,British Columbia,Canada,V3L 1E7,Partial College,Clerical,F,S,0,2,0,0,85250,21,1,54.71
Findon,South Australia,Australia,5023,High School,Skilled Manual,F,S,0,2,0,0,57294,20,1,52.71
National City,California,United States,91950,High School,Skilled Manual,M,M,1,1,2,2,60099,35,1,54.53
Torrance,California,United States,90505,Partial High School,Skilled Manual,M,S,0,1,0,0,55316,17,0,51.33
Colma,California,United States,94014,Partial College,Clerical,M,M,0,0,0,0,86291,20,1,49.95
Darmstadt,Hessen,Germany,64283,High School,Clerical,M,S,0,2,0,0,81784,23,1,53.37
Versailles,Yveline,France,78000,Partial College,Management,F,M,1,2,1,2,110801,33,1,55.99
Darlinghurst,New South Wales,Australia,2010,Bachelors,Professional,M,S,1,2,0,0,136498,33,1,54.12
Spring Valley,California,United States,91977,Partial College,Skilled Manual,M,M,1,1,0,1,51566,41,1,57.08
National City,California,United States,91950,Bachelors,Professional,M,M,1,2,0,2,131875,27,1,52.36
Lebanon,Oregon,United States,97355,Partial College,Skilled Manual,F,M,1,0,0,2,59221,34,0,48.93
Oxford,England,United Kingdom,OX1,Bachelors,Management,F,M,1,3,0,0,107252,22,1,51.23
Beaverton,Oregon,United States,97005,Bachelors,Skilled Manual,M,M,1,2,0,2,57883,50,0,48.73
Bellingham,Washington,United States,98225,Partial College,Clerical,F,S,0,0,0,0,77014,28,0,53.69
Lakewood,California,United States,90712,Graduate Degree,Professional,F,M,1,3,0,0,136001,30,1,52.24
Shawnee,British Columbia,Canada,V8Z 4N5,Partial College,Skilled Manual,F,S,0,0,0,0,59965,21,1,50.43
San Diego,California,United States,92102,Partial High School,Manual,F,M,1,1,0,1,25605,44,0,45.26
Woodland Hills,California,United States,91364,High School,Skilled Manual,F,S,1,0,0,0,58736,45,1,49.91
Glendale,California,United States,91203,Graduate Degree,Manual,M,M,0,0,0,1,26373,27,0,45.07
Lynnwood,Washington,United States,98036,Partial College,Manual,F,S,1,0,0,1,25681,49,0,46.18
Villeneuve-d'Ascq,Nord,France,59491,High School,Clerical,M,M,1,2,1,2,82341,47,1,59.01
Lincoln Acres,California,United States,91950,Bachelors,Skilled Manual,F,S,1,0,0,1,55465,55,0,52.53
Paris,Seine (Paris),France,75013,Bachelors,Management,F,M,1,3,2,2,107628,32,1,52.17
Olympia,Washington,United States,98501,Partial High School,Manual,M,S,1,1,0,1,32858,51,0,46.93
La Jolla,California,United States,92806,High School,Manual,F,M,1,0,1,2,34256,42,1,50.36
Leeds,England,United Kingdom,LE18,High School,Clerical,M,S,0,1,0,0,84282,28,1,52.59
Sedro Woolley,Washington,United States,98284,Partial College,Manual,F,S,1,1,0,0,30987,48,0,46.99
La Jolla,California,United States,92806,Bachelors,Skilled Manual,F,M,1,1,0,2,51005,39,0,48.41
Melton,Victoria,Australia,3337,Bachelors,Management,F,S,0,0,0,0,112718,18,1,56.07
München,Hessen,Germany,80074,Bachelors,Management,F,S,0,1,0,0,108823,28,0,54.95
Brisbane,Queensland,Australia,4000,Bachelors,Skilled Manual,F,M,0,1,0,0,58048,21,0,48.34
Hobart,Tasmania,Australia,7001,Bachelors,Professional,F,S,1,0,0,0,131868,33,1,53.52
La Jolla,California,United States,92806,Graduate Degree,Skilled Manual,M,S,0,0,0,0,60904,25,1,50.33
Saint-Denis,Seine Saint Denis,France,93400,Bachelors,Professional,M,M,1,2,0,0,132803,26,1,52.22
Billericay,England,United Kingdom,CM11,Bachelors,Professional,F,M,1,3,0,3,134507,63,0,52.04
Fremont,California,United States,94536,Graduate Degree,Skilled Manual,M,M,1,2,1,1,52726,30,1,52.61
Melbourne,Victoria,Australia,3000,Bachelors,Management,M,M,1,2,0,0,106018,32,1,54.35
Bremerton,Washington,United States,98312,High School,Skilled Manual,F,M,1,2,1,2,57833,44,1,49.74
Spokane,Washington,United States,99202,Bachelors,Management,M,M,1,2,1,2,106608,51,1,54.69
Ballard,Washington,United States,98107,Graduate Degree,Clerical,F,S,1,2,0,0,80297,43,1,54.18
Newton,British Columbia,Canada,V2L3W8,Graduate Degree,Professional,F,M,1,3,1,2,128309,31,1,53.16
Sooke,British Columbia,Canada,V0,Bachelors,Professional,F,M,1,2,1,2,132342,50,1,55.43
Grevenbroich,Bayern,Germany,41485,Graduate Degree,Manual,M,S,0,0,0,0,30111,35,1,50.99
W. York,England,United Kingdom,BD1 4SJ,Graduate Degree,Management,F,S,1,2,0,0,109009,34,0,55.43
Corvallis,Oregon,United States,97330,Graduate Degree,Professional,M,M,1,2,0,0,131346,26,1,51.99
Bellingham,Washington,United States,98225,Bachelors,Management,M,S,0,1,0,0,110510,27,1,51.85
Sooke,British Columbia,Canada,V0,Bachelors,Skilled Manual,M,M,1,0,2,2,62081,38,1,61.85
Glendale,California,United States,91203,Partial High School,Manual,F,M,1,0,1,2,27359,44,0,45.31
Vancouver,British Columbia,Canada,V7L 4J4,Graduate Degree,Professional,M,M,1,0,1,2,135728,30,1,60.75
Bonn,Hamburg,Germany,53001,Bachelors,Manual,F,S,1,1,0,1,31586,52,0,50.03
North Sydney,New South Wales,Australia,2055,Graduate Degree,Professional,M,S,1,2,0,0,131444,38,1,58.09
Coronado,California,United States,92118,High School,Skilled Manual,M,M,1,0,1,2,54324,50,1,51.56
Cliffside,British Columbia,Canada,V8Y 1L1,Partial College,Skilled Manual,M,M,1,1,1,2,57728,49,1,48.64
Sooke,British Columbia,Canada,V0,Bachelors,Clerical,M,S,1,3,1,1,86087,52,1,53.02
Sedro Woolley,Washington,United States,98284,Bachelors,Manual,F,S,1,1,1,1,36469,52,0,47.67
Coronado,California,United States,92118,Graduate Degree,Skilled Manual,M,M,0,2,0,1,62073,26,1,48.91
Beverly Hills,California,United States,90210,High School,Clerical,F,M,1,0,2,2,77924,49,1,52.37
Dresden,Hessen,Germany,1071,Partial College,Management,M,M,1,1,0,2,110610,39,0,60.12
Milwaukie,Oregon,United States,97222,High School,Skilled Manual,F,S,0,2,0,0,57383,21,0,50.93
Bellflower,California,United States,90706,Partial College,Management,M,S,0,3,0,0,109901,17,0,53.33
Lieusaint,Seine et Marne,France,77127,Partial College,Clerical,M,S,1,3,0,1,86454,53,1,53.53
London,England,United Kingdom,W1X3SE,Partial College,Clerical,M,M,1,3,0,2,83990,50,1,50.47
Bonn,Hamburg,Germany,53001,Graduate Degree,Professional,M,M,1,3,0,2,129942,36,1,58.47
Burien,Washington,United States,98168,Graduate Degree,Clerical,M,S,0,2,0,0,77172,33,1,51.61
Berkeley,California,United States,94704,High School,Skilled Manual,F,M,1,1,0,2,58707,44,0,48.2
Corvallis,Oregon,United States,97330,High School,Manual,M,M,0,0,0,0,28043,17,0,45.22
Fremont,California,United States,94536,Partial College,Clerical,M,M,1,1,0,2,84848,46,0,51.33
Daly City,California,United States,94015,Graduate Degree,Skilled Manual,F,S,0,2,0,0,52153,24,0,51.88
Lincoln Acres,California,United States,91950,Partial College,Management,M,S,0,1,0,0,110189,20,1,55.86
Burbank,California,United States,91502,Partial College,Manual,F,M,1,1,1,2,31106,36,1,45.41
Milwaukie,Oregon,United States,97222,High School,Skilled Manual,F,S,0,0,0,0,59806,17,1,50.62
Imperial Beach,California,United States,91932,Partial College,Clerical,F,M,1,2,1,2,87410,46,1,51.26
Paris,Seine (Paris),France,75017,Partial College,Management,M,S,1,1,0,0,111507,44,0,60.28
Burbank,California,United States,91502,Graduate Degree,Professional,F,S,1,3,0,0,128069,25,1,52.51
Paris,Seine (Paris),France,75007,Bachelors,Clerical,F,M,1,1,2,2,76765,37,1,50.41
London,England,United Kingdom,W1V 5RN,High School,Manual,F,M,1,0,0,2,25614,42,0,44.48
Palo Alto,California,United States,94303,Partial High School,Manual,M,M,1,1,1,2,34052,43,0,55.03
Sunbury,Victoria,Australia,3429,Graduate Degree,Clerical,M,S,1,1,0,0,88226,37,1,57.33
Burbank,California,United States,91502,Partial College,Manual,F,S,0,1,0,0,32830,20,0,50.99
Bellflower,California,United States,90706,Partial College,Manual,F,M,0,0,1,2,33828,33,1,46.14
North Ryde,New South Wales,Australia,2113,High School,Clerical,F,M,1,0,0,2,85783,52,1,50.39
Santa Cruz,California,United States,95062,Graduate Degree,Professional,M,S,1,2,1,1,132351,63,1,52.43
Daly City,California,United States,94015,Graduate Degree,Clerical,F,M,1,1,0,1,85504,26,1,50.54
Sedro Woolley,Washington,United States,98284,Partial College,Management,F,M,1,3,2,2,102354,47,1,52.07
Wollongong,New South Wales,Australia,2500,Partial College,Clerical,F,M,1,1,1,2,82494,44,1,50.17
Pantin,Seine Saint Denis,France,93500,High School,Manual,F,M,1,0,1,2,35885,52,1,48.86
Cliffside,British Columbia,Canada,V8Y 1L1,Partial College,Manual,F,M,1,1,0,1,29049,35,0,45.11
Corvallis,Oregon,United States,97330,Bachelors,Professional,F,M,1,2,0,3,127993,55,0,51.74
Rhodes,New South Wales,Australia,2138,Partial High School,Skilled Manual,F,M,0,1,1,1,53956,25,1,52.18
St. Leonards,New South Wales,Australia,2065,High School,Skilled Manual,F,M,1,2,2,2,54977,50,1,51.29
Woolston,England,United Kingdom,WA1 4SY,Partial College,Management,M,S,0,3,0,0,104478,27,0,51.61
Bremerton,Washington,United States,98312,Partial College,Manual,M,S,0,1,0,0,28238,35,0,48.57
Shawnee,British Columbia,Canada,V9B 2C3,Bachelors,Manual,M,M,0,1,1,1,26885,26,0,48.3
Langley,British Columbia,Canada,V3A 4R2,Partial High School,Manual,F,M,1,0,1,1,29134,43,0,47.99
Sedro Woolley,Washington,United States,98284,Graduate Degree,Manual,M,M,1,1,0,2,32513,60,0,45.48
Lebanon,Oregon,United States,97355,High School,Manual,F,M,1,1,1,2,35699,35,1,48.58
Melton,Victoria,Australia,3337,High School,Skilled Manual,F,M,0,1,0,0,60148,17,0,48.6
Corvallis,Oregon,United States,97330,High School,Skilled Manual,M,S,1,1,0,0,53370,43,1,53.69
Lemon Grove,California,United States,91945,Graduate Degree,Professional,M,M,1,2,0,3,132340,59,0,51.86
Berkeley,California,United States,94704,Bachelors,Management,F,S,1,1,0,1,111254,55,0,55.48
Santa Monica,California,United States,90401,Bachelors,Skilled Manual,M,M,1,2,1,2,60452,54,1,50.71
Sunbury,Victoria,Australia,3429,Bachelors,Skilled Manual,M,S,0,0,0,0,60855,28,0,50.56
Chula Vista,California,United States,91910,Partial College,Skilled Manual,F,M,1,2,2,2,55892,46,1,48.87
Kiel,Saarland,Germany,24044,High School,Manual,M,M,0,1,1,1,28089,31,0,48.07
Melbourne,Victoria,Australia,3000,Graduate Degree,Skilled Manual,M,M,0,2,1,2,53947,28,1,49.44
Neunkirchen,Saarland,Germany,66578,Partial College,Manual,M,M,1,1,0,2,30373,34,0,50.42
Marysville,Washington,United States,98270,Partial College,Clerical,F,S,0,0,0,0,87019,24,0,52.49
Long Beach,California,United States,90802,Bachelors,Clerical,M,M,1,3,0,2,79271,54,1,49.54
Edmonds,Washington,United States,98020,Partial College,Skilled Manual,M,M,1,0,1,2,58060,48,1,56.74
Roubaix,Nord,France,59100,Partial High School,Skilled Manual,F,M,1,1,0,2,54933,49,0,48.37
Lincoln Acres,California,United States,91950,High School,Skilled Manual,F,M,1,1,0,2,56146,37,0,48.08
Findon,South Australia,Australia,5023,Partial College,Management,M,M,1,1,0,1,108544,36,1,54.74
Chula Vista,California,United States,91910,Bachelors,Professional,F,M,1,2,0,2,136583,33,1,52.37
Port Macquarie,New South Wales,Australia,2444,High School,Manual,F,S,0,1,0,0,25979,20,0,49.12
Torrance,California,United States,90505,Graduate Degree,Clerical,M,S,1,3,1,1,78768,56,1,51.28
Sydney,New South Wales,Australia,1002,Bachelors,Skilled Manual,F,M,1,1,1,1,52621,31,1,52.24
Bellingham,Washington,United States,98225,High School,Manual,F,M,1,0,0,2,29238,39,0,45.76
Les Ulis,Essonne,France,91940,High School,Skilled Manual,F,S,0,2,0,0,60704,21,1,52.83
Melton,Victoria,Australia,3337,Bachelors,Management,M,S,1,1,0,0,108304,33,0,55.03
Brisbane,Queensland,Australia,4000,Bachelors,Management,F,S,1,0,0,0,106065,32,1,51.22
Burien,Washington,United States,98168,Partial High School,Skilled Manual,F,M,1,2,0,2,57247,42,1,48.93
Beaverton,Oregon,United States,97005,Partial College,Management,M,M,1,1,1,2,112319,61,1,51.43
Verrieres Le Buisson,Essonne,France,91370,Bachelors,Clerical,M,S,0,3,0,0,86709,28,1,52.01
Neunkirchen,Saarland,Germany,66578,Bachelors,Skilled Manual,M,M,1,2,1,1,60532,38,1,58.72
Townsville,Queensland,Australia,4810,Partial College,Skilled Manual,F,M,1,2,0,2,62046,36,1,49.56
London,England,United Kingdom,W1X3SE,Bachelors,Manual,F,M,1,1,1,2,30322,57,1,47.11
San Carlos,California,United States,94070,Partial College,Skilled Manual,M,M,1,1,1,2,56640,34,0,49.85
Perth,South Australia,Australia,6006,Graduate Degree,Professional,M,S,1,2,0,0,132537,30,1,60.44
Gold Coast,Queensland,Australia,4217,Graduate Degree,Management,M,S,0,2,0,0,111554,26,1,53.75
Cliffside,British Columbia,Canada,V8Y 1L1,High School,Clerical,F,M,1,1,0,2,83651,36,0,50.92
Colombes,Hauts de Seine,France,92700,Partial High School,Manual,F,S,1,1,0,0,30119,48,0,47.58
Stuttgart,Saarland,Germany,70452,Partial College,Manual,F,S,0,0,0,0,36230,18,1,47.09
Port Hammond,British Columbia,Canada,V6B 3P7,High School,Skilled Manual,M,M,1,1,0,2,55504,52,0,48.3
Vancouver,British Columbia,Canada,V7L 4J4,Bachelors,Manual,F,M,0,1,0,1,36323,31,0,45.78
Les Ulis,Essonne,France,91940,Bachelors,Management,M,M,1,2,0,0,107769,30,1,51.7
Los Angeles,California,United States,90012,Bachelors,Skilled Manual,F,S,1,2,0,0,55132,48,1,50.03
Lincoln Acres,California,United States,91950,Graduate Degree,Skilled Manual,M,S,0,0,0,0,60271,25,0,48.6
Maidenhead,England,United Kingdom,SL67RJ,Partial College,Clerical,F,M,1,3,1,2,78491,44,1,49.38
Port Orchard,Washington,United States,98366,Graduate Degree,Management,F,M,1,3,0,0,109815,25,1,51.82
East Brisbane,Queensland,Australia,4169,Bachelors,Manual,M,S,0,0,0,0,27482,34,0,52.55
Orly,Val de Marne,France,94310,High School,Skilled Manual,M,M,1,0,1,2,57321,37,1,53.79
Concord,California,United States,94519,High School,Manual,M,M,1,1,0,1,29157,42,0,47.4
East Brisbane,Queensland,Australia,4169,Partial College,Clerical,F,M,1,1,1,2,80236,57,0,51.83
Beverly Hills,California,United States,90210,Bachelors,Skilled Manual,F,M,0,1,1,1,54274,29,1,49.25
Woodburn,Oregon,United States,97071,Bachelors,Management,M,S,1,3,0,1,112858,50,1,51.92
Newcastle,New South Wales,Australia,2300,Partial College,Skilled Manual,M,S,0,1,0,0,52198,23,1,49.53
Saarlouis,Saarland,Germany,66740,Partial College,Skilled Manual,F,S,0,0,0,0,52108,23,0,51.01
Sooke,British Columbia,Canada,V0,Partial High School,Skilled Manual,M,S,0,1,0,0,62192,19,0,50.54
Edmonds,Washington,United States,98020,Partial College,Skilled Manual,M,M,1,1,1,2,60907,36,1,55.08
Everett,Washington,United States,98201,Graduate Degree,Professional,M,M,1,2,0,0,131469,26,1,52.21
Glendale,California,United States,91203,Bachelors,Skilled Manual,M,S,0,1,0,0,53958,32,1,52.01
Caloundra,Queensland,Australia,4551,Bachelors,Skilled Manual,F,S,0,0,0,0,53447,29,1,52.84
Imperial Beach,California,United States,91932,Graduate Degree,Skilled Manual,F,M,0,1,1,1,58389,28,1,50.08
Sydney,New South Wales,Australia,1002,Graduate Degree,Management,F,S,0,0,0,0,107998,27,1,54.49
Roncq,Nord,France,59223,Bachelors,Clerical,M,M,1,3,0,1,79664,36,1,53.7
Matraville,New South Wales,Australia,2036,Bachelors,Professional,F,S,1,2,0,0,130548,38,1,56.39
Coronado,California,United States,92118,Bachelors,Skilled Manual,F,M,1,1,1,2,57051,61,1,52.12
Beverly Hills,California,United States,90210,Partial College,Management,F,S,1,1,0,0,101869,39,0,51.3
Sooke,British Columbia,Canada,V0,Partial College,Clerical,M,M,1,2,1,2,78193,34,1,54.03
Hervey Bay,Queensland,Australia,4655,High School,Skilled Manual,M,S,1,1,0,1,58799,64,1,51.81
London,England,United Kingdom,W1X3SE,Partial High School,Skilled Manual,F,S,0,0,0,0,54888,24,1,52.13
Santa Cruz,California,United States,95062,Graduate Degree,Management,M,S,1,2,0,0,112501,36,1,53.39
Burbank,California,United States,91502,Graduate Degree,Clerical,F,M,1,2,0,2,81830,25,1,50.11
Drancy,Seine Saint Denis,France,93700,Partial High School,Manual,F,S,0,0,0,0,28401,32,0,48.22
London,England,United Kingdom,EC1R 0DU,Partial College,Management,F,M,0,2,0,0,104729,19,1,51.22
Paris,Seine (Paris),France,75010,High School,Skilled Manual,F,M,1,2,1,2,59202,45,1,49.38
Colomiers,Garonne (Haute),France,31770,Graduate Degree,Professional,F,M,1,3,0,2,138146,34,1,52.2
East Brisbane,Queensland,Australia,4169,Partial College,Clerical,M,M,1,3,1,2,78873,45,1,60.61
Stoke-on-Trent,England,United Kingdom,AS23,High School,Skilled Manual,M,S,0,0,0,0,61143,19,1,52.98
Spring Valley,California,United States,91977,Partial College,Skilled Manual,F,S,1,0,0,0,53742,45,0,48.59
Colma,California,United States,94014,Graduate Degree,Management,F,M,1,0,1,2,105527,56,1,51.55
Mühlheim,Hamburg,Germany,63151,Partial College,Manual,M,M,1,1,1,2,36817,53,1,49.16
Lake Oswego,Oregon,United States,97034,High School,Skilled Manual,M,M,1,1,2,2,56252,36,0,60.57
Leipzig,Nordrhein-Westfalen,Germany,4139,Partial High School,Manual,F,M,1,0,1,2,30093,49,0,45.68
Oregon City,Oregon,United States,97045,Graduate Degree,Skilled Manual,M,S,1,2,0,1,61204,57,0,51.97
Daly City,California,United States,94015,Partial College,Skilled Manual,F,M,1,1,1,2,61174,40,1,52.53
Burbank,California,United States,91502,Graduate Degree,Clerical,M,M,1,2,1,1,80911,28,1,53.26
Villeneuve-d'Ascq,Nord,France,59491,Graduate Degree,Professional,F,S,1,3,0,0,128695,38,0,51.91
Lemon Grove,California,United States,91945,Partial College,Management,M,M,1,1,2,2,112455,46,1,59.59
London,England,United Kingdom,SW6 SBY,Bachelors,Clerical,M,M,1,2,1,2,81146,31,1,57.02
Caloundra,Queensland,Australia,4551,Partial High School,Skilled Manual,M,M,1,2,1,2,52450,50,1,52.28
Bellflower,California,United States,90706,Graduate Degree,Skilled Manual,F,S,0,1,0,0,61140,37,0,49.33
Burbank,California,United States,91502,Graduate Degree,Manual,M,M,1,0,1,1,34606,38,1,57.63
El Cajon,California,United States,92020,Partial College,Management,M,M,1,3,1,2,107953,35,1,54.18
Bellingham,Washington,United States,98225,Bachelors,Skilled Manual,M,S,1,2,0,1,55107,53,0,49.69
Cloverdale,South Australia,Australia,6105,Partial High School,Skilled Manual,F,M,1,1,1,2,57242,42,1,50.85
Hof,Bayern,Germany,95010,Partial College,Skilled Manual,F,M,1,1,1,2,55233,52,1,49.93
Cheltenham,England,United Kingdom,GL50,Bachelors,Management,M,S,1,3,0,0,105650,30,1,58.17
Wollongong,New South Wales,Australia,2500,Partial High School,Manual,M,M,0,1,0,2,27997,26,0,45.54
Morangis,Essonne,France,91420,Partial High School,Skilled Manual,F,S,0,0,0,0,55060,22,1,48.1
Hobart,Tasmania,Australia,7001,Bachelors,Skilled Manual,M,M,1,0,1,1,59193,32,1,56.61
Burlingame,California,United States,94010,Bachelors,Clerical,F,S,1,2,0,0,81833,35,1,51.86
Bremerton,Washington,United States,98312,Partial College,Clerical,F,S,0,3,0,0,79300,22,0,49.68
Port Orchard,Washington,United States,98366,Graduate Degree,Management,M,M,1,3,0,2,109846,24,0,50.71
Bracknell,England,United Kingdom,RG12 8TB,High School,Manual,F,S,0,1,0,0,35891,21,0,50.94
Cambridge,England,United Kingdom,CB4 4BZ,Partial College,Manual,M,S,0,1,0,0,28998,42,0,59.26
Los Angeles,California,United States,90012,Graduate Degree,Professional,M,S,1,2,0,0,136107,25,1,55.53
Grevenbroich,Bayern,Germany,41485,Bachelors,Skilled Manual,F,M,1,1,1,1,55686,43,1,52.15
Corvallis,Oregon,United States,97330,Bachelors,Skilled Manual,F,M,0,2,0,1,57315,24,0,48.89
Sydney,New South Wales,Australia,1002,Bachelors,Clerical,F,S,0,2,0,0,82324,22,0,52.69
Springwood,New South Wales,Australia,2777,Partial College,Clerical,F,S,0,2,0,0,83218,18,1,53.96
Los Angeles,California,United States,90012,Graduate Degree,Professional,F,M,1,2,0,0,135576,30,1,52.7
Oregon City,Oregon,United States,97045,Bachelors,Clerical,F,M,1,0,0,2,78294,37,0,50.55
Stuttgart,Saarland,Germany,70452,Bachelors,Clerical,M,M,1,1,0,1,84579,33,0,54.36
Gold Coast,Queensland,Australia,4217,Partial College,Clerical,F,S,1,2,0,0,79523,42,0,50.08
Townsville,Queensland,Australia,4810,Partial College,Clerical,F,S,1,0,1,1,86231,51,1,53.32
Hof,Bayern,Germany,95010,Partial College,Management,M,S,0,3,0,0,108068,25,1,53.85
National City,California,United States,91950,Graduate Degree,Management,M,M,1,3,1,2,103378,54,1,52.67
Chula Vista,California,United States,91910,Graduate Degree,Manual,F,M,1,1,1,2,30006,56,1,48.39
Sèvres,Hauts de Seine,France,92310,Bachelors,Manual,F,M,1,0,1,2,34555,52,1,50.17
Erlangen,Bayern,Germany,91054,Partial College,Manual,F,S,0,1,0,0,33943,31,0,49.05
Bellflower,California,United States,90706,Graduate Degree,Professional,M,M,1,2,0,0,129366,24,0,51.5
Vancouver,British Columbia,Canada,V7L 4J4,Graduate Degree,Skilled Manual,M,M,0,0,2,2,51753,25,1,50.44
Oakland,California,United States,94611,Graduate Degree,Professional,M,S,1,2,0,0,135380,27,1,54.42
Downey,California,United States,90241,Bachelors,Manual,F,M,1,0,1,2,25975,36,0,48.46
Westminster,British Columbia,Canada,V3L 1H4,Partial College,Management,M,S,1,2,0,0,108950,29,0,53.87
Olympia,Washington,United States,98501,Partial College,Clerical,M,M,1,2,1,2,86872,44,1,57.79
Croix,Nord,France,59170,Graduate Degree,Clerical,M,M,1,1,0,2,88036,34,0,58.69
West Covina,California,United States,91791,Graduate Degree,Professional,M,M,1,2,0,2,132719,31,1,59.81
Walla Walla,Washington,United States,99362,Bachelors,Clerical,M,M,1,3,0,1,86576,29,1,50.53
Hobart,Tasmania,Australia,7001,High School,Skilled Manual,M,M,0,1,0,1,59349,25,0,48.48
Victoria,British Columbia,Canada,V8V,Graduate Degree,Skilled Manual,M,M,1,2,0,3,53142,64,0,48
Peterborough,England,United Kingdom,PB12,Partial College,Clerical,F,S,1,1,0,0,76300,41,0,51.93
Hawthorne,Queensland,Australia,4171,Partial College,Skilled Manual,M,M,0,1,0,0,61952,23,0,49.29
South Melbourne,Victoria,Australia,3205,High School,Skilled Manual,M,M,0,2,0,0,53724,24,0,47.92
Kirkby,England,United Kingdom,KB9,Partial College,Skilled Manual,M,M,1,1,0,2,59388,41,0,57.3
